File Name,MPR Count,Diameter Found,Gene Node Count,DP Computation Time,Diameter Computation Time,Date
TreeLifeData/COG1073.newick,447180963840.0,146,437,1930.3085309999988,4.919018000000506,Sat Jun 24 02:44:39 2017
TreeLifeData/COG1074.newick,17280.0,50,129,15.114205999998376,4.74425699999847,Sat Jun 24 02:44:59 2017
TreeLifeData/COG1075.newick,320.0,26,105,10.430389000001014,4.793462000001455,Sat Jun 24 02:45:15 2017
TreeLifeData/COG1076.newick,4.0,8,35,1.4099650000025576,4.795580000001792,Sat Jun 24 02:45:21 2017
TreeLifeData/COG1077.newick,2112.0,52,161,23.308529000001727,4.946748000002117,Sat Jun 24 02:45:49 2017
TreeLifeData/COG1078.newick,96.0,34,103,8.783591999999771,4.6938310000005,Sat Jun 24 02:46:03 2017
TreeLifeData/COG1079.newick,6912.0,49,101,10.715570000000298,4.678636999997252,Sat Jun 24 02:46:18 2017
TreeLifeData/COG1080.newick,15360.0,47,125,16.441985000001296,4.733345000000554,Sat Jun 24 02:46:40 2017
TreeLifeData/COG1082.newick,2.0,2,3,0.03164000000106171,4.823386000000028,Sat Jun 24 02:46:45 2017
TreeLifeData/COG1083.newick,13056.0,43,55,4.46031899999798,4.711558999999397,Sat Jun 24 02:46:54 2017
TreeLifeData/COG1084.newick,3.0,20,45,1.31984200000079,4.781835999998293,Sat Jun 24 02:47:00 2017
TreeLifeData/COG1085.newick,384.0,30,65,4.652475999999297,4.83443299999999,Sat Jun 24 02:47:09 2017
TreeLifeData/COG1086.newick,16128.0,72,111,16.03097600000183,4.772805000000517,Sat Jun 24 02:47:30 2017
TreeLifeData/COG1087.newick,21120.0,50,177,32.58539699999892,4.789999999997235,Sat Jun 24 02:48:08 2017
TreeLifeData/COG1088.newick,21504.0,70,143,27.54212600000028,4.714629999998579,Sat Jun 24 02:48:40 2017
TreeLifeData/COG1089.newick,288.0,34,93,10.297267000001739,4.767604000000574,Sat Jun 24 02:48:56 2017
TreeLifeData/COG1090.newick,32.0,25,85,6.810348000002705,4.828174000002036,Sat Jun 24 02:49:07 2017
TreeLifeData/COG1091.newick,165888.0,75,123,22.292375999997603,4.818776000000071,Sat Jun 24 02:49:35 2017
