File Name,# of MPRs,# of medians by first method,# of medians by second method
./TreeLifeData/COG0253.newick,470016,512,16
./TreeLifeData/COG0254.newick,706003200,128,32
./TreeLifeData/COG0255.newick,5744775168,64,8
./TreeLifeData/COG0256.newick,1277952,1024,512
./TreeLifeData/COG0257.newick,14754769920,64,64
./TreeLifeData/COG0258.newick,2752512000,16,16
./TreeLifeData/COG0259.newick,309168,8,2
./TreeLifeData/COG0260.newick,295612416,2048,128
./TreeLifeData/COG0261.newick,43186176,64,16
./TreeLifeData/COG0262.newick,686435095019520,131072,16384
./TreeLifeData/COG0263.newick,36536832,128,4
./TreeLifeData/COG0264.newick,6144,64,64
./TreeLifeData/COG0265.newick,2,2,2
./TreeLifeData/COG0266.newick,54720,16,4
./TreeLifeData/COG0267.newick,14730240,8,2
./TreeLifeData/COG0268.newick,36864,32,32
./TreeLifeData/COG0269.newick,263088,8,2
./TreeLifeData/COG0270.newick,100160,8,4
./TreeLifeData/COG0271.newick,82944,512,64
./TreeLifeData/COG0272.newick,1112064,128,32
./TreeLifeData/COG0274.newick,1900544,768,128
./TreeLifeData/COG0275.newick,5440,8,4
./TreeLifeData/COG0276.newick,67322880,1024,16
./TreeLifeData/COG0277.newick,8,4,2
./TreeLifeData/COG0278.newick,159120,16,16
./TreeLifeData/COG0279.newick,16100352,32,32
./TreeLifeData/COG0280.newick,5400534712320,256,192
./TreeLifeData/COG0281.newick,28676229120,256,16
./TreeLifeData/COG0282.newick,6420480,64,128
./TreeLifeData/COG0283.newick,137216,24,8
./TreeLifeData/COG0284.newick,99840,64,32
./TreeLifeData/COG0285.newick,33280,16,16
./TreeLifeData/COG0286.newick,64,32,12
./TreeLifeData/COG0287.newick,332107776,8,4
./TreeLifeData/COG0288.newick,76565716254720,16,8
./TreeLifeData/COG0289.newick,258465792,32,16
./TreeLifeData/COG0290.newick,640,64,64
./TreeLifeData/COG0291.newick,368640,64,16
./TreeLifeData/COG0292.newick,226293903360,32,8
./TreeLifeData/COG0293.newick,528,64,8
./TreeLifeData/COG0294.newick,2,2,2
./TreeLifeData/COG0295.newick,52224,128,16
./TreeLifeData/COG0296.newick,7077888,1024,32
./TreeLifeData/COG0297.newick,131604480,256,64
./TreeLifeData/COG0298.newick,256,32,32
./TreeLifeData/COG0299.newick,44728320,512,64
./TreeLifeData/COG0300.newick,19660800,2048,512
./TreeLifeData/COG0301.newick,576,8,4
./TreeLifeData/COG0302.newick,1528823808,4096,96
./TreeLifeData/COG0303.newick,5693276160,6144,128
./TreeLifeData/COG0304.newick,256,64,12
./TreeLifeData/COG0305.newick,13056,32,32
./TreeLifeData/COG0306.newick,44590694400,8192,32768
./TreeLifeData/COG0307.newick,589824,1024,256
./TreeLifeData/COG0308.newick,56,4,2
./TreeLifeData/COG0309.newick,27648,32,4
./TreeLifeData/COG0310.newick,36864,256,32
./TreeLifeData/COG0311.newick,168,2,1
./TreeLifeData/COG0312.newick,3818078208,2048,256
./TreeLifeData/COG0313.newick,58742784,4,4
./TreeLifeData/COG0314.newick,115200,64,16
./TreeLifeData/COG0315.newick,30277632,2048,128
./TreeLifeData/COG0316.newick,61873152,64,8
./TreeLifeData/COG0317.newick,4608,64,32
./TreeLifeData/COG0318.newick,2,2,2
./TreeLifeData/COG0319.newick,14031360,4,2
./TreeLifeData/COG0320.newick,552960,32,4
./TreeLifeData/COG0321.newick,9472,128,8
./TreeLifeData/COG0322.newick,224,32,32
./TreeLifeData/COG0323.newick,55296,32,16
./TreeLifeData/COG0324.newick,42560,8,8
./TreeLifeData/COG0325.newick,39936,128,64
./TreeLifeData/COG0326.newick,38320128,256,128
./TreeLifeData/COG0327.newick,425984,32,8
./TreeLifeData/COG0328.newick,8,8,2
./TreeLifeData/COG0329.newick,23262511553951041585152,8192,4096
./TreeLifeData/COG0330.newick,32,16,2
./TreeLifeData/COG0331.newick,510720,32,16
./TreeLifeData/COG0332.newick,4592538943488,512,32
./TreeLifeData/COG0333.newick,960,16,16
./TreeLifeData/COG0334.newick,11415217766400,131072,6144
./TreeLifeData/COG0335.newick,3467404800,16,4
./TreeLifeData/COG0336.newick,10030,2,2
./TreeLifeData/COG0337.newick,62914560,1024,64
./TreeLifeData/COG0338.newick,233472,128,8
./TreeLifeData/COG0339.newick,956160,16,2
./TreeLifeData/COG0340.newick,67239936,192,64
./TreeLifeData/COG0341.newick,2048,32,48
./TreeLifeData/COG0342.newick,7008,16,2
./TreeLifeData/COG0343.newick,7864320,6144,256
./TreeLifeData/COG0344.newick,8126464,512,96
./TreeLifeData/COG0345.newick,3258777600,512,16
./TreeLifeData/COG0346.newick,2,2,2
./TreeLifeData/COG0347.newick,25804800,2048,256
./TreeLifeData/COG0348.newick,420,4,1
./TreeLifeData/COG0349.newick,12928,8,4
./TreeLifeData/COG0350.newick,51840,96,2
./TreeLifeData/COG0351.newick,3104833536,1024,512
./TreeLifeData/COG0352.newick,18486311980032,32,2
./TreeLifeData/COG0353.newick,172032,512,256
./TreeLifeData/COG0354.newick,3024,4,1
./TreeLifeData/COG0355.newick,16973824,16,8
./TreeLifeData/COG0356.newick,148635648,4096,256
./TreeLifeData/COG0357.newick,38880,24,4
./TreeLifeData/COG0358.newick,39168,32,8
./TreeLifeData/COG0359.newick,182528,2,2
./TreeLifeData/COG0360.newick,519045120,128,32
./TreeLifeData/COG0361.newick,27326545920,64,64
./TreeLifeData/COG0362.newick,2344960,1,2
./TreeLifeData/COG0363.newick,41562136903680,32,8
./TreeLifeData/COG0364.newick,635019264,32,8
./TreeLifeData/COG0365.newick,5793542642545459200,16777216,32768
./TreeLifeData/COG0366.newick,32,16,2
